Num,X,Y,Z,timestamp(timeIntervalSince1970)
124,0.04905622452497482,-1.3382304906845093,-0.1625673472881317,1652824255.789909
125,-0.08463899046182632,-1.2779666185379028,-0.1716308742761612,1652824255.799899
126,-0.2031983882188797,-1.2651402950286865,-0.20197440683841705,1652824255.809978
127,-0.25740915536880493,-1.2728368043899536,-0.2297050952911377,1652824255.8199902
128,-0.23720642924308777,-1.2871313095092773,-0.25111451745033264,1652824255.829914
129,-0.1795676350593567,-1.293145775794983,-0.28300002217292786,1652824255.839905
130,-0.11509835720062256,-1.2811226844787598,-0.3235149383544922,1652824255.849906
131,-0.046549659222364426,-1.2556660175323486,-0.3312298655509949,1652824255.85997
132,-0.0129938293248415,-1.259820580482483,-0.3237037658691406,1652824255.8699841
133,-0.012035624124109745,-1.3029052019119263,-0.31321731209754944,1652824255.87996
134,-0.06430628150701523,-1.3408880233764648,-0.3062739074230194,1652824255.890018
135,-0.1441981941461563,-1.3533170223236084,-0.30727100372314453,1652824255.899935
136,-0.23259197175502777,-1.3607019186019897,-0.3127847909927368,1652824255.909912
137,-0.29886099696159363,-1.3614041805267334,-0.3325824737548828,1652824255.920001
138,-0.3436673581600189,-1.3638330698013306,-0.3519958555698395,1652824255.9299412
139,-0.3673412501811981,-1.3449429273605347,-0.3796218931674957,1652824255.939907
140,-0.3692278265953064,-1.2771722078323364,-0.39645227789878845,1652824255.949923
141,-0.3547056317329407,-1.2075355052947998,-0.40500393509864807,1652824255.960038
142,-0.31460535526275635,-1.128152847290039,-0.38675835728645325,1652824255.969996
143,-0.19509892165660858,-1.064331293106079,-0.3563392162322998,1652824255.979838
144,-0.031039942055940628,-0.9723345041275024,-0.35378843545913696,1652824255.9899101
145,0.13117985427379608,-0.8652881979942322,-0.3812355101108551,1652824255.999999
146,0.23143349587917328,-0.8191172480583191,-0.4426378905773163,1652824256.009982
147,0.23518481850624084,-0.8107000589370728,-0.49004507064819336,1652824256.019398
148,0.18210509419441223,-0.7974705100059509,-0.49027517437934875,1652824256.029928
149,0.12084892392158508,-0.8158013224601746,-0.44996264576911926,1652824256.0394568
150,0.018622420728206635,-0.8810093402862549,-0.4011476933956146,1652824256.049989
151,-0.10931157320737839,-0.9873011708259583,-0.3573317527770996,1652824256.059874
152,-0.23039938509464264,-1.0772159099578857,-0.3028450906276703,1652824256.069993
153,-0.2905849516391754,-1.1317031383514404,-0.2577764093875885,1652824256.0799131
154,-0.3309164047241211,-1.1749293804168701,-0.237192302942276,1652824256.089789
155,-0.31797876954078674,-1.225440263748169,-0.2200506031513214,1652824256.09992
156,-0.2720126211643219,-1.2456262111663818,-0.2317701131105423,1652824256.1098661
157,-0.19912081956863403,-1.2688822746276855,-0.2584376633167267,1652824256.11994
